"",BBSIS.D.I.ZST.B0.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B0.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B3.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B3.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.T1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.T1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.T2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.T2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS
"",Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta0 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta1 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta2 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta3 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Tau1 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Tau2 /daily data,
unit,,,,,,,,,,,,
unit multiplier,one,,one,,one,,one,,one,,one,
last update,2021-07-09 13:55:23,,2021-07-09 13:55:23,,2021-07-09 13:55:23,,2021-07-09 13:55:24,,2021-07-09 13:55:24,,2021-07-09 13:55:24,
2019-06-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-03,0.97004,,-1.48715,,-0.92086,,-1.70291,,3.40863,,3.32630,
2019-06-04,0.88367,,-1.45529,,0.00510,,-3.85765,,1.11818,,2.73458,
2019-06-05,0.88367,,-1.45529,,0.00510,,-3.85765,,1.11818,,2.73458,
2019-06-06,0.87586,,-1.45512,,0.01020,,-3.99381,,1.04691,,2.70808,
2019-06-07,0.83281,,-1.39338,,0.01390,,-3.78202,,1.09074,,2.74886,
2019-06-08,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-09,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-11,0.84944,,-1.41517,,0.00087,,-3.83877,,1.07510,,2.68853,
2019-06-12,0.84944,,-1.41517,,0.00087,,-3.83877,,1.07510,,2.68853,
2019-06-13,0.83867,,-1.40159,,0.00174,,-3.75970,,1.16141,,2.77183,
2019-06-14,0.77433,,-1.33178,,0.00011,,-3.61584,,1.20375,,2.74475,
2019-06-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-16,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-17,0.81933,,-1.35209,,-2.62007,,0.15765,,3.26753,,4.16175,
2019-06-18,0.77500,,-1.32416,,-2.78963,,0.23859,,3.21293,,3.25176,
2019-06-19,0.76075,,-1.22685,,-2.73612,,-0.41283,,2.99876,,0.11451,
2019-06-20,0.71202,,-1.29089,,-3.10028,,0.59844,,2.83597,,2.07172,
2019-06-21,0.71202,,-1.29089,,-3.10028,,0.59844,,2.83597,,2.07172,
2019-06-22,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-23,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-24,0.74186,,-1.33952,,-2.38569,,0.04400,,3.24809,,0.05710,
2019-06-25,0.74186,,-1.33952,,-2.38569,,0.04400,,3.24809,,0.05710,
2019-06-26,0.75373,,-1.36575,,-2.36828,,0.05113,,3.43589,,2.86500,
2019-06-27,0.78391,,-1.36821,,-2.17575,,-0.29882,,3.19422,,4.90706,
2019-06-28,0.72057,,-1.23719,,-2.54116,,-0.23013,,3.11396,,0.14734,
2019-06-29,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-30,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-01,0.75520,,-1.22526,,-2.71602,,-0.37349,,3.12186,,0.16388,
2019-07-02,0.76641,,-1.29354,,-2.68742,,-0.21316,,3.26199,,0.16926,
2019-07-03,0.72811,,-1.33027,,-2.50672,,-0.01332,,3.42582,,0.15436,
2019-07-04,0.71407,,-1.31490,,-2.46249,,-0.02635,,3.46435,,0.70991,
2019-07-05,0.71363,,-1.33515,,-2.69494,,0.23399,,3.36018,,2.15410,
2019-07-06,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-08,0.72911,,-1.31298,,-2.45022,,-0.02403,,3.38709,,0.23867,
2019-07-09,0.75989,,-1.36534,,-2.43710,,0.03398,,3.34868,,0.16047,
2019-07-10,0.83242,,-1.40188,,-2.49380,,0.00212,,3.34025,,0.01003,
2019-07-11,0.80214,,-1.38669,,-2.49289,,0.00212,,3.29733,,0.01003,
2019-07-12,0.92612,,-1.51486,,-2.56070,,0.00212,,3.26847,,0.01003,
2019-07-13,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-15,0.87558,,-1.47239,,-2.53555,,0.00212,,3.27465,,0.01003,
2019-07-16,0.80535,,-1.40374,,-2.47245,,0.00212,,3.31100,,0.01003,
2019-07-17,0.79858,,-1.40062,,-1.40521,,-0.97081,,3.55969,,2.98624,
2019-07-18,0.77227,,-1.38358,,-0.96664,,-1.49388,,3.36800,,3.38468,
2019-07-19,0.83355,,-1.46219,,-2.55045,,0.01916,,3.52496,,0.13223,
2019-07-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-22,0.80584,,-1.41937,,-2.60591,,0.00120,,3.42414,,0.00826,
2019-07-23,0.81762,,-1.43691,,-2.58917,,0.00120,,3.50660,,0.00826,
2019-07-24,0.75918,,-1.38273,,-0.12577,,-3.03654,,2.26496,,3.42948,
2019-07-25,0.69296,,-1.33681,,0.09224,,-3.44258,,1.70464,,3.11725,
2019-07-26,0.74418,,-1.37748,,0.13689,,-3.51911,,1.72443,,3.15451,
2019-07-27,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-29,0.72592,,-1.44502,,-2.35258,,0.28720,,3.69620,,0.42790,
2019-07-30,0.73466,,-1.50160,,-2.25957,,0.40592,,3.82267,,0.39463,
2019-07-31,0.70385,,-1.47406,,-2.25035,,0.40735,,3.78412,,0.41592,
2019-08-01,0.63856,,-1.15494,,-2.58391,,-0.36632,,3.40857,,0.14059,
2019-08-02,0.50199,,-1.06556,,-2.41411,,-0.31566,,3.51006,,0.11697,
2019-08-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-05,0.40405,,-1.01393,,-2.21960,,-0.17166,,3.56920,,0.12242,
2019-08-06,0.41390,,-1.02889,,-2.29676,,-0.15615,,3.45965,,0.13743,
2019-08-07,0.27785,,-0.91363,,-2.14424,,-0.08361,,3.40264,,0.20048,
2019-08-08,0.35815,,-1.00972,,-2.28126,,-0.27188,,3.41061,,0.02324,
2019-08-09,0.39125,,-1.05193,,-2.34770,,-0.04844,,3.52817,,1.01262,
2019-08-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-11,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-12,0.35230,,-1.04670,,-2.30599,,0.40948,,3.44561,,0.01878,
2019-08-13,0.28863,,-1.01623,,-2.13249,,0.81896,,3.54698,,0.02747,
2019-08-14,0.25827,,-0.92345,,-2.27307,,0.05119,,3.35610,,0.01782,
2019-08-15,0.23020,,-0.91535,,-0.45669,,-1.35415,,5.89305,,2.88853,
2019-08-16,0.17969,,-0.86876,,-1.73060,,-0.39250,,4.38571,,1.56515,
2019-08-17,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-18,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-19,0.31271,,-1.00893,,-1.90370,,-0.36548,,3.84830,,2.24405,
2019-08-20,0.28917,,-0.98979,,-7.62475,,5.20035,,3.34431,,3.27499,
2019-08-21,0.30564,,-1.00730,,-2.61702,,0.32856,,3.70425,,5.53939,
2019-08-22,0.00159,,-0.69801,,-2.47566,,1.11534,,4.00094,,10.51720,
2019-08-23,0.00531,,-0.69696,,-2.54227,,1.35364,,4.06732,,10.54559,
2019-08-24,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-25,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-26,0.00055,,-0.70301,,-2.38376,,1.03916,,3.95134,,11.00814,
2019-08-27,0.00014,,-0.70409,,-2.27916,,0.86732,,3.84689,,12.04710,
2019-08-28,0.00037,,-0.71899,,-2.11517,,0.54304,,3.88484,,11.99802,
2019-08-29,0.00035,,-0.70774,,-2.10365,,0.56418,,3.76497,,13.44770,
2019-08-30,0.00082,,-0.71136,,-2.21852,,0.66798,,3.72013,,12.57311,
2019-08-31,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-02,0.00190,,-0.72267,,-2.19719,,0.60649,,3.56167,,14.54054,
2019-09-03,0.00939,,-0.72987,,-2.33964,,0.61619,,3.75736,,11.87732,
2019-09-04,0.00621,,-0.71924,,-2.16385,,0.79229,,3.83116,,15.15545,
2019-09-05,0.05009,,-0.75195,,1.21810,,-1.70651,,13.37200,,3.31641,
2019-09-06,0.14645,,-0.82710,,1.41762,,-2.09826,,10.53253,,3.69100,
2019-09-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-08,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-09,0.08373,,-0.75460,,1.67965,,-2.35043,,9.91505,,3.96870,
2019-09-10,0.15174,,-0.81338,,1.51208,,-2.23932,,10.06119,,3.77624,
2019-09-11,0.51244,,-1.43010,,-2.14770,,0.75711,,3.71939,,0.38823,
2019-09-12,0.39114,,-0.93186,,-2.58036,,-1.65231,,3.28343,,0.02792,
2019-09-13,0.50449,,-0.92053,,-2.57087,,-3.34611,,3.53023,,0.01725,
2019-09-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-16,0.47650,,-0.92504,,-2.47578,,-2.89508,,3.38325,,0.01791,
2019-09-17,0.49742,,-0.94876,,-2.47742,,-5.58692,,3.49673,,0.01043,
2019-09-18,0.46444,,-0.96056,,-2.35995,,-3.26675,,3.56730,,0.01365,
2019-09-19,0.47433,,-1.02323,,-2.18083,,-5.10428,,3.78680,,0.00660,
2019-09-20,0.42015,,-0.97297,,-2.12739,,-16.24981,,3.84048,,0.00210,
2019-09-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-22,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-23,0.32122,,-0.89225,,-2.03777,,-4.26118,,4.07162,,0.00627,
2019-09-24,0.33201,,-0.90958,,-2.00765,,-4.79432,,4.14783,,0.00509,
2019-09-25,0.25895,,-0.83637,,-1.99028,,-10.38289,,4.11482,,0.00199,
2019-09-26,0.24800,,-0.82189,,-2.00448,,-3.92751,,3.70370,,0.00594,
2019-09-27,0.31856,,-1.15329,,-1.56387,,0.56172,,4.60831,,0.28752,
2019-09-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-29,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-09-30,0.38837,,-1.21913,,-1.68801,,0.54072,,4.42419,,0.28265,
2019-10-01,0.43188,,-1.32240,,-1.59231,,0.77370,,4.38978,,0.26750,
2019-10-02,0.40243,,-1.25355,,-1.69539,,0.65234,,4.30584,,0.26320,
2019-10-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-04,0.31449,,-0.98359,,-2.04452,,19.03117,,3.84719,,0.00184,
2019-10-05,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-06,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-07,0.31270,,-0.96694,,-2.07660,,15.06848,,3.80639,,0.00196,
2019-10-08,0.34913,,-0.98212,,-2.16714,,11.33147,,3.65962,,0.00196,
2019-10-09,0.35725,,-1.00631,,-2.12705,,14.20993,,3.74945,,0.00217,
2019-10-10,0.38161,,-1.02519,,-2.00043,,15.94981,,3.91071,,0.00186,
2019-10-11,0.41370,,-1.01184,,-2.03775,,21.33387,,3.60637,,0.00090,
2019-10-12,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-13,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-14,0.44398,,-1.01813,,-2.12538,,12.16760,,3.51952,,0.00090,
2019-10-15,0.45837,,-0.99185,,-2.11482,,-0.04881,,3.67868,,0.73467,
2019-10-16,0.49161,,-1.04480,,-1.54029,,-0.43661,,4.12816,,2.27925,
2019-10-17,0.54519,,-1.09326,,-0.16104,,-2.06205,,3.03705,,3.60445,
2019-10-18,0.53594,,-1.09253,,-1.99107,,-0.01953,,3.69945,,0.32467,
2019-10-19,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-21,0.57537,,-1.12665,,-2.02872,,-0.03906,,3.50636,,0.32162,
2019-10-22,0.56860,,-1.15071,,-2.24899,,0.26524,,3.67090,,3.22861,
2019-10-23,0.28068,,-0.86901,,-1.93264,,0.72822,,4.04602,,12.83114,
2019-10-24,0.51151,,-1.10304,,-1.98207,,0.09664,,3.62693,,1.95943,
2019-10-25,0.53023,,-1.13598,,-1.84919,,0.03000,,3.83722,,0.76959,
2019-10-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-27,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-10-28,0.59501,,-1.17774,,-1.96777,,0.02850,,3.63029,,1.46319,
2019-10-29,0.56906,,-1.16986,,-1.81769,,0.00178,,3.79709,,0.09145,
2019-10-30,0.57768,,-1.16416,,-1.81818,,0.00011,,3.94012,,0.02430,
2019-10-31,0.25297,,-0.86399,,-1.98654,,1.11062,,4.69813,,12.03238,
2019-11-01,0.53508,,-1.13598,,0.45068,,-2.55552,,3.15768,,3.83013,
2019-11-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-04,0.54998,,-1.16060,,0.56781,,-3.01451,,2.13040,,3.16200,
2019-11-05,0.60700,,-1.19919,,-0.01993,,-2.80608,,1.58544,,3.18466,
2019-11-06,0.60390,,-1.17120,,-0.03986,,-2.65767,,1.76712,,3.23086,
2019-11-07,0.59002,,-1.16899,,-0.07972,,-2.55991,,1.76397,,3.36863,
2019-11-08,0.65063,,-1.22353,,-0.09379,,-1.90132,,3.07886,,3.52551,
2019-11-09,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-11,0.62706,,-1.21345,,-1.34853,,-0.39186,,3.64173,,3.38532,
2019-11-12,0.68262,,-1.26805,,-1.84671,,0.25128,,3.49744,,0.00010,
2019-11-13,0.57672,,-1.17785,,-0.09291,,-2.47987,,1.69162,,3.24146,
2019-11-14,0.54972,,-1.15855,,1.27771,,-3.43938,,2.42901,,3.09335,
2019-11-15,0.51369,,-1.13107,,0.80695,,-3.08897,,2.02712,,2.92725,
2019-11-16,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-17,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-18,0.53932,,-1.13836,,0.91483,,-3.12834,,2.26046,,3.03401,
2019-11-19,0.54722,,-1.13583,,1.42512,,-3.59180,,2.46334,,3.08599,
2019-11-20,0.51166,,-1.10652,,0.40696,,-2.66437,,2.43711,,3.43515,
2019-11-21,0.58281,,-1.16099,,0.02544,,-1.95998,,3.46571,,3.81442,
2019-11-22,0.53494,,-1.11971,,0.02085,,-2.41793,,2.08763,,3.46220,
2019-11-23,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-24,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-11-25,0.54697,,-1.13126,,0.04722,,-2.43935,,2.16615,,3.49543,
2019-11-26,0.54256,,-1.13836,,0.07867,,-2.63623,,1.83293,,3.37591,
2019-11-27,0.54250,,-1.03351,,-1.93191,,-0.25107,,3.86091,,0.32184,
2019-11-28,0.51904,,-1.00688,,-1.92198,,-0.29539,,3.75930,,0.26736,
2019-11-29,0.51864,,-1.12572,,-1.86496,,0.15725,,3.68522,,1.11947,
2019-11-30,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-02,0.57341,,-1.16843,,-3.06063,,1.25920,,3.09216,,2.38060,
2019-12-03,0.57026,,-1.19126,,-5.06046,,3.14016,,2.69760,,2.31493,
2019-12-04,0.53312,,-1.18070,,-21.22954,,19.24524,,2.55004,,2.45577,
2019-12-05,0.53991,,-1.20147,,-30.00000,,28.09110,,2.44272,,2.37519,
2019-12-06,0.53991,,-1.20147,,-30.00000,,28.09110,,2.44272,,2.37519,
2019-12-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-08,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-09,0.54484,,-1.22223,,-26.26808,,24.33514,,2.37254,,2.29286,
2019-12-10,0.56288,,-1.25474,,-22.80475,,20.86065,,2.28700,,2.19171,
2019-12-11,0.54227,,-1.22491,,-7.92956,,6.01932,,2.51570,,2.22376,
2019-12-12,0.56599,,-1.23699,,-2.30392,,0.57394,,3.21826,,1.80142,
2019-12-13,0.63131,,-1.30362,,0.93973,,-3.08956,,2.13560,,2.96784,
2019-12-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-16,0.56948,,-1.24473,,0.00964,,-2.51868,,1.59899,,3.29225,
2019-12-17,0.22609,,-0.89893,,-2.78257,,2.71429,,5.64317,,9.06652,
2019-12-18,0.20682,,-0.89496,,-3.15865,,3.15036,,5.76665,,8.65500,
2019-12-19,0.61086,,-1.34517,,-0.67200,,-2.93217,,0.61820,,2.65164,
2019-12-20,0.60251,,-1.37147,,-0.71269,,-2.91976,,0.60286,,2.65453,
2019-12-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-22,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-23,0.56594,,-1.25786,,-1.05626,,-2.99119,,0.47541,,2.61810,
2019-12-24,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-25,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-27,0.59239,,-1.23748,,-1.18387,,-3.06575,,0.45045,,2.61962,
2019-12-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-29,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-12-30,0.66472,,-1.36514,,-0.89154,,-2.95912,,0.60503,,2.80096,
2019-12-31,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-02,0.70701,,-1.39679,,-2.36462,,0.76271,,2.94907,,1.64556,
2020-01-03,0.55525,,-1.20226,,-4.30519,,2.45568,,2.53638,,1.91370,
2020-01-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-05,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-06,0.63192,,-1.23395,,-1.11893,,-0.71314,,3.45066,,3.97075,
2020-01-07,0.66179,,-1.25160,,-1.78314,,0.08020,,3.71353,,0.00010,
2020-01-08,0.65899,,-1.24608,,-1.83603,,0.08020,,3.60553,,0.00010,
2020-01-09,0.69782,,-1.28388,,-1.75424,,0.08020,,3.60705,,0.00010,
2020-01-10,0.68784,,-1.10077,,-2.02614,,-0.48023,,3.25866,,0.22562,
2020-01-11,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-12,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-13,0.75525,,-1.32295,,-0.42187,,-1.14324,,4.35358,,3.48294,
2020-01-14,0.71620,,-1.31369,,-1.86076,,0.18078,,3.28757,,0.69708,
2020-01-15,0.72458,,-1.28180,,-1.25215,,-0.66736,,3.41071,,4.45319,
2020-01-16,0.69714,,-1.24316,,-0.36066,,-1.61426,,3.24787,,3.67374,
2020-01-17,0.69857,,-1.24826,,-1.82486,,-0.27018,,3.65021,,0.00010,
2020-01-18,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-19,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-20,0.69857,,-1.24826,,-1.82486,,-0.27018,,3.65021,,0.00010,
2020-01-21,0.68992,,-1.23381,,-1.77673,,-0.54036,,3.80341,,0.00010,
2020-01-22,0.59627,,-1.17234,,-7.31753,,5.34881,,2.50755,,2.19148,
2020-01-23,0.58929,,-1.16983,,-2.35249,,0.52982,,3.03296,,1.44804,
2020-01-24,0.57402,,-1.14444,,-2.53112,,0.68045,,3.15251,,1.78577,
2020-01-25,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2020-01-27,0.64494,,-1.17371,,-1.52627,,-0.41769,,4.53917,,2.78412,
2020-01-28,0.50596,,-1.03282,,-0.26324,,-2.06824,,2.65374,,3.96188,
2020-01-29,0.55988,,-1.10431,,0.13813,,-1.68750,,5.48941,,3.76144,
2020-01-30,0.54119,,-1.10053,,0.17465,,-1.87806,,4.76365,,4.05751,
